title,url,date,snippet
EndSARS: We’ll continue to protest until Buhari meets demands—Nigerians in Turkey,https://www.vanguardngr.com/2020/10/endsars-well-continue-to-protest-until-buhari-meets-demands-nigerians-in-turkey/,29-Oct-20,"Nigerians in Turkey, yesterday, said they would continue the protests against bad governance in Nigeria as well as EndSARs campaign, under President Muhammadu Buhari."
"Did lecturers’ strike fuel #EndSARS protest? ASUU, NANS, others differ with FG",https://www.vanguardngr.com/2020/10/did-lecturers-strike-fuel-endsars-protest-asuu-nans-others-differ-with-fg/,29-Oct-20,
Stock market shrugs off #EndSARS crises as investors gain N387bn,https://www.vanguardngr.com/2020/10/stock-market-shrugs-off-endsars-crises-as-investors-gain-n387bn/,29-Oct-20,
EndSARS Violence and Nigerian Army’s Footprints,https://www.vanguardngr.com/2020/10/endsars-violence-and-nigerian-armys-footprints/,29-Oct-20,
#EndSARS: Minister urges youths to engage govt in dialogue,https://www.vanguardngr.com/2020/10/endsars-minister-urges-youths-to-engage-govt-in-dialogue/,28-Oct-20,"Commends maturity exhibited by youths in Abia By Gabriel Ewepu THE Minister of State for Mines and Steel Development, Dr Uchechukwu Ogah, urged youths to engage government in constructive dialogue while making their demands known. Ogah made the appeal while at a ‘Special Stakeholders Town-Hall Meeting’ held in Umuahia, Abia State, where he commended maturity […]"
"#EndSARS: ‘4 policemen killed, 11 stations, 20 vehicles burnt in Anambra’",https://www.vanguardngr.com/2020/10/endsars-4-policemen-killed-11-stations-20-vehicles-burnt-in-anambra/,28-Oct-20,
Lekki Tollgate shooting: Amnesty International releases ‘investigative timeline’,https://www.vanguardngr.com/2020/10/lekki-tollgate-shooting-amnesty-international-releases-investigative-timeline/,28-Oct-20,"Following the controversies, claims and counter-claims that have been trailing the shooting at peaceful #EndSARS protesters at Lekki Tollgate, Lagos, on Tuesday, October 20, Amnesty International has released a timeline on what many have termed “Black Tuesday.”"
"Mayhem, arson: Sanwo-Olu admits full responsibility, unveils plan to set up Rebuild Lagos Trust Fund",https://www.vanguardngr.com/2020/10/mayhem-arson-sanwo-olu-admits-full-responsibility-unveils-plan-to-set-up-rebuild-lagos-trust-fund/,28-Oct-20,"By Olasunkanmi Akoni Aftermath of destruction of lives and property, Lagos State Governor, Babajide Sanwo-Olu, on Wednesday said the state government will set up Rebuild Lagos Trust Fund as he accepted full responsibility on what happened in the state during the EndSARS protests. Sanwo-Olu made the statement when he visited the Lagos Police Command, Ikeja, […]"
"#EndSARS: Benin monarch lauds Buhari’s intervention, commiserates with bereaved families",https://www.vanguardngr.com/2020/10/endsars-benin-monarch-lauds-buharis-intervention-commiserates-with-bereaved-families/,28-Oct-20,
EndSARS: Kano IPMAN allays fear of petrol scarcity,https://www.vanguardngr.com/2020/10/endsars-kano-ipman-allays-fear-of-petrol-scarcity/,28-Oct-20,
"#EndSARS: Kano police arrest 59 looters, recover hundreds of items",https://www.vanguardngr.com/2020/10/endsars-kano-police-arrest-59-looters-recover-hundreds-of-items/,28-Oct-20,
#EndSARS: We’re still collating number of policemen killed in South East ― Supervising DIG,https://www.vanguardngr.com/2020/10/endsars-were-still-collating-number-of-policemen-killed-in-south-east-%e2%80%95-supervising-dig/,28-Oct-20,"By Peter Okutu – Abakaliki The Supervising Deputy Inspector General of Police, DIG South East Geopolitical Zone, DIG Celestine Okoye, Wednesday said the Nigerian Police was still collating the number of policemen killed in the South East region, following the #EndSARS protests. The DIG who is also in-charge of Information Communication Technology Force Headquarters, Abuja, […]"
"#EndSARS: Police in Edo parades suspected escapees, looters, others",https://www.vanguardngr.com/2020/10/endsars-police-in-edo-parades-suspected-escapees-looters-others/,28-Oct-20,
"#EndSARS: 6 cops killed, police arms, exhibits room looted in Oyo ― CP",https://www.vanguardngr.com/2020/10/endsars-6-cops-killed-police-arms-exhibits-room-looted-in-oyo-%e2%80%95-cp/,28-Oct-20,
"EndSARS: BON, NBC disagree over N9m fine on broadcast stations",https://www.vanguardngr.com/2020/10/endsars-bon-nbc-disagree-over-n9m-fine-on-broadcast-stations/,28-Oct-20,
#EndSARS Protests: Seize opportunity to implement 2014 Confab report ― ECWA to Buhari,https://www.vanguardngr.com/2020/10/endsars-protests-seize-opportunity-to-implement-2014-confab-report-%e2%80%95-ecwa-to-buhari/,28-Oct-20,
#EndSARS: Bauchi governor inaugurates panel to probe human rights abuses,https://www.vanguardngr.com/2020/10/endsars-bauchi-gov-inaugurates-panel-to-probe-human-rights-abuses/,28-Oct-20,
Ugwuanyi constitutes panel on victims of #EndSARS protests,https://www.vanguardngr.com/2020/10/ugwuanyi-constitutes-panel-on-victims-of-endsars-protests/,28-Oct-20,
"Abiola’s N100bn proposal to empower youths, reform Police",https://www.vanguardngr.com/2020/10/abiolas-n100bn-proposal-to-empower-youths-reform-police/,28-Oct-20,"This is a follow-up to the video that I dropped yesterday concerning the EndSars agitation. Many people have contacted me and asked why was the Army not included in my proposal for the police. I meant to include the Army and all our security services officers. Their minimum wage should be N250,000 per month, with interest-free home loans."
"Two cops, one civilian killed in #EndSARS Protest in Ondo ― Police",https://www.vanguardngr.com/2020/10/two-cops-one-civilian-killed-in-endsars-protest-in-ondo-%e2%80%95-police/,28-Oct-20,"— Parades 18 suspected looters, arsonists By Dayo Johnson POLICE authorities in Ondo state have said that two police sergeants and one civilian were murdered during the #EndSARS protests hijacked by hoodlums across the state last week. The state police commissioner, Bolaji Salami at a Press Conference in Akure, the state capital said that the […]"
"Deji of Akure supports arrest, prosecution of hijackers of #EndSARS protests nationwide",https://www.vanguardngr.com/2020/10/deji-of-akure-supports-arrest-prosecution-of-hijackers-of-endsars-protests-nationwide/,28-Oct-20,
#EndSARS: Lalong threatens relocating govt properties to other communities,https://www.vanguardngr.com/2020/10/endsars-lalong-threatens-relocating-govt-properties-to-other-communities/,28-Oct-20,
Rights advocate urges #EndSARS organizers to dialogue with FG,https://www.vanguardngr.com/2020/10/rights-advocate-urges-endsars-organizers-to-dialogue-with-fg/,28-Oct-20,
"EndSARS Protest: Select credible people to engage govt on your behalf, Orajiaka tells youths",https://www.vanguardngr.com/2020/10/endsars-protest-select-credible-people-to-engage-govt-on-your-behalf-orajiaka-tells-youths/,28-Oct-20,
"Uniben Law Class pioneer member,  Osiyen makes case for #EndSars in UK",https://www.vanguardngr.com/2020/10/uniben-law-class-pioneer-member-osiyen-makes-case-for-endsars-in-uk/,28-Oct-20,"Nigerians resident  in London have continued to demand an end to police brutality and bad governance in the country.  In their numbers,  they flooded the major streets in the city,  calling global attention to the #EndSars campaign. READ ALSOCyberterrorism big challenge for us ― CDS Olonisakin The placard-bearing protesters had various inscriptions on their placards,  […]"
#EndSARS: Police nab pastor over looted N1.2b medical equipment in Kogi (VIDEO),https://www.vanguardngr.com/2020/10/endsars-police-nab-pastor-over-looted-n1-2b-medical-equipment-in-kogi-video/,28-Oct-20,"As the hoodlums continue the looting spree across states in Nigeria, luck ran out of a Kogi-based Pastor Sunday Edino and his accomplices who were arrested with medical equipment in Lokoja by the state’s Commissioner of Police, Ede Ayuba and his men on Monday."
"#EndSARS: Two officers, one civilian killed in Ondo — CP",https://www.vanguardngr.com/2020/10/endsars-two-officers-one-civilian-killed-in-ondo-cp/,28-Oct-20,
#EndSARS: The chickens are coming home to roost,https://www.vanguardngr.com/2020/10/endsars-the-chickens-are-coming-home-to-roost/,28-Oct-20,
EndSARS protest: Soldiers didn’t shoot any protester at Lekki Toll Gate — Army,https://www.vanguardngr.com/2020/10/endsars-protest-soldiers-didnt-shoot-any-protester-at-lekki-toll-gate-army/,28-Oct-20,
"#ENDSARS: 7 Customs Command attacked, one officer killed",https://www.vanguardngr.com/2020/10/endsars-7-customs-command-attacked-one-officer-killed/,28-Oct-20,
"#EndSARS: NPA raises suspicion, commences  investigations into HQ attack",https://www.vanguardngr.com/2020/10/endsars-npa-raises-suspicion-commences-investigations-into-hq-attack/,28-Oct-20,
#EndSARS: Smugglers take over Mile2/Seme route,https://www.vanguardngr.com/2020/10/endsars-smugglers-take-over-mile2-seme-route/,28-Oct-20,"SMUGGLERS are having a free ride along the Mile2/Seme Expressway, Lagos, transporting large quantities of imported rice, frozen poultry products, vegetable oil, fish and other banned imports into the country."
Beyond SARS and epistemic disobedience (2),https://www.vanguardngr.com/2020/10/beyond-sars-and-epistemic-disobedience-2/,28-Oct-20,"By Segun Ige It is altogether surprising and disheartening that the looting and shooting of hotly contested stratification of #EndSARS would have ‘troublesomely’ featured in The New York Times. The language power and portrayal of the Lekki Toll Gate butchery and debauchery begins to splash out ripples to my reticent mind. On October 22, 2020, […]"
Ending SARS by SWATting citizens like flies?,https://www.vanguardngr.com/2020/10/ending-sars-by-swatting-citizens-like-flies/,28-Oct-20,"By Ogaga Ifowodo As news of outbreaks of arson and looting started taking over the reports of the hitherto peaceful EndSARS protests, I hoped and prayed that for once, government would buck the trend and resist the temptation to send soldiers and anti-riot policemen to clear the streets by mowing down protesters. The reported incidents […]"
#EndSARS and the professionalism of the Nigerian Army,https://www.vanguardngr.com/2020/10/endsars-and-the-professionalism-of-the-nigerian-army/,28-Oct-20,
#ENDSARS: The Anatomy of A Speech— and of State Terrorism,https://www.vanguardngr.com/2020/10/endsars-the-anatomy-of-a-speech-and-of-state-terrorism/,27-Oct-20,
EndSARS: Coronation Insurance assures clients of support,https://www.vanguardngr.com/2020/10/endsars-coronation-insurance-assures-clients-of-support/,27-Oct-20,
AFBA tells FG to condemn attack on #EndSARS protesters,https://www.vanguardngr.com/2020/10/afba-tells-fg-to-condemn-attack-on-endsars-protesters/,27-Oct-20,
#EndSARS: Ugwuanyi set up panel of inquiry,https://www.vanguardngr.com/2020/10/endsars-ugwuanyi-set-up-panel-of-inquiry/,27-Oct-20,
"EndSARS: NHRC condemns killing of Police officers, others",https://www.vanguardngr.com/2020/10/endsars-nhrc-condemns-killing-of-police-officers-others/,27-Oct-20,"The National Human Rights Commission (NHRC), on Tuesday strongly condemned the alleged killing of Police Officers across the country."
"Breaking: Lagos govt invited us, but soldiers didn’t shoot at protesters— Army",https://www.vanguardngr.com/2020/10/breaking-lagos-govt-invited-us-but-soldiers-didnt-shoot-at-protesters-army/,27-Oct-20,"The Nigerian Army finally broke its silence on the Lekki Tollgate shootings in Lagos, exonerating its men from shooting at the  #EndSARS protesters last Tuesday. Rather,  it described the allegation of killing of protesters by soldiers as unfounded, attributing it to the handiwork of mischief-makers."
#EndSARS: 520 suspects arrested for various offences,https://www.vanguardngr.com/2020/10/endsars-520-suspects-arrested-for-various-offences/,27-Oct-20,
